Species	Accession	FTP
Escherichia coli strain p4A 	NZ_CP049085.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/331/215/GCA_011331215.2_ASM1133121v2
Escherichia coli strain FDAARGOS_1077 	NZ_CP068155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/728/085/GCA_016728085.1_ASM1672808v1
Escherichia coli strain U90 	NZ_CP068035.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/696/665/GCA_016696665.1_ASM1669666v1
Escherichia coli strain CV601 	NZ_CP067994.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/659/085/GCA_016659085.1_ASM1665908v1
Escherichia coli strain JE86-ST02 	NZ_AP022811.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/508/805/GCA_015508805.1_ASM1550880v1
Escherichia coli strain JE86-ST05 	NZ_AP022815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/509/005/GCA_015509005.1_ASM1550900v1
Escherichia coli strain STN0717-20 	NZ_AP022482.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/136/895/GCA_015136895.1_ASM1513689v1
Escherichia coli strain THO-015 	NZ_AP022549.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/139/735/GCA_015139735.1_ASM1513973v1
Escherichia coli strain THO-010 	NZ_AP022540.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/139/375/GCA_015139375.1_ASM1513937v1
Escherichia coli strain THO-006 	NZ_AP022533.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/138/955/GCA_015138955.1_ASM1513895v1
Escherichia coli strain THO-008 	NZ_AP022536.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/139/155/GCA_015139155.1_ASM1513915v1
Escherichia coli strain THO-003 	NZ_AP022525.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/138/575/GCA_015138575.1_ASM1513857v1
Escherichia coli strain STN0717-11 	NZ_AP022478.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/136/715/GCA_015136715.1_ASM1513671v1
Escherichia coli strain STW0522-31 	NZ_AP022409.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/135/355/GCA_015135355.1_ASM1513535v1
Escherichia coli strain TCM3e1 	NZ_CP066806.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/598/635/GCA_016598635.1_ASM1659863v1
Escherichia coli O157:H7 strain ECP19-198 	NZ_CP066759.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/458/885/GCA_016458885.1_ASM1645888v1
Escherichia coli O157:H7 strain ECP19-798 	NZ_CP066756.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/458/905/GCA_016458905.1_ASM1645890v1
Escherichia coli O157:H7 strain ECP19-2498 	NZ_CP066748.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/458/945/GCA_016458945.1_ASM1645894v1
Escherichia coli O157:H7 strain ECP19-598 	NZ_CP066753.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/458/925/GCA_016458925.1_ASM1645892v1
Escherichia coli strain QEC11-421 	NZ_CP048821.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/446/335/GCA_016446335.1_ASM1644633v1
Escherichia coli strain 1EC187 	NZ_CP061108.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/432/805/GCA_016432805.1_ASM1643280v1
Escherichia coli strain 1EC213 	NZ_CP061101.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/432/785/GCA_016432785.1_ASM1643278v1
Escherichia coli strain ZLWT 	NZ_CP066144.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/132/505/GCA_016132505.1_ASM1613250v1
Escherichia coli strain FDAARGOS_1059 	NZ_CP066032.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/695/GCA_016127695.1_ASM1612769v1
Escherichia coli strain FDAARGOS_1058 	NZ_CP065970.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/126/995/GCA_016126995.1_ASM1612699v1
Escherichia coli strain FDAARGOS_945 	NZ_CP065611.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/215/GCA_016026215.1_ASM1602621v1
Escherichia coli strain FDAARGOS_943 	NZ_CP065615.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/335/GCA_016026335.1_ASM1602633v1
Escherichia coli strain FDAARGOS_946 	NZ_CP065607.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/195/GCA_016026195.1_ASM1602619v1
Escherichia coli strain FDAARGOS_944 	NZ_CP065613.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/235/GCA_016026235.1_ASM1602623v1
Escherichia coli strain FDAARGOS_941 	NZ_CP065624.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/375/GCA_016026375.1_ASM1602637v1
Escherichia coli strain KC-Dl-1 	NZ_CP063046.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/930/915/GCA_014930915.1_ASM1493091v1
Escherichia coli strain Eco-15 	NZ_CP047710.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/910/185/GCA_015910185.1_ASM1591018v1
Escherichia coli strain W60 	NZ_CP058342.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/843/075/GCA_015843075.1_ASM1584307v1
Escherichia coli O150:H6 strain FEX669 	NZ_CP065152.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/697/215/GCA_015697215.1_ASM1569721v1
Escherichia coli strain 20 	NZ_CP064847.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/649/805/GCA_015649805.1_ASM1564980v1
Escherichia coli UTI89 	NZ_CP064825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/644/765/GCA_015644765.1_ASM1564476v1
Escherichia coli O112ab:H8 strain Res13-Lact-EA06-22 	NZ_CP062910.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/915/GCA_015571915.1_ASM1557191v1
Escherichia coli strain Res13-Lact-ER02-39 	NZ_CP062895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/875/GCA_015571875.1_ASM1557187v1
Escherichia coli strain Res13-Lact-PEA14-20 	NZ_CP062871.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/755/GCA_015571755.1_ASM1557175v1
Escherichia coli O152:H23 strain Res13-Lact-ER01-35 	NZ_CP062901.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/895/GCA_015571895.1_ASM1557189v1
Escherichia coli O167:H26 strain Res13-Lact-PER13-34 	NZ_CP062824.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/595/GCA_015571595.1_ASM1557159v1
Escherichia coli strain Res13-Lact-EB12-05 	NZ_CP062908.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/955/GCA_015571955.1_ASM1557195v1
Escherichia coli strain Res13-Lact-PEB14-36 	NZ_CP062863.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/815/GCA_015571815.1_ASM1557181v1
Escherichia coli O9:H10 strain Res13-Lact-PEB21-38-A 	NZ_CP062851.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/675/GCA_015571675.1_ASM1557167v1
Escherichia coli strain Res13-Lact-PEB01-20 	NZ_CP062868.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/835/GCA_015571835.1_ASM1557183v1
Escherichia coli O100:H21 strain Res13-Lact-ER07-18 	NZ_CP062889.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/795/GCA_015571795.1_ASM1557179v1
Escherichia coli O39:H21 strain Res13-Lact-PEB08-01 	NZ_CP062865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/735/GCA_015571735.1_ASM1557173v1
Escherichia coli strain Res13-Lact-PER02-33 	NZ_CP062838.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/655/GCA_015571655.1_ASM1557165v1
Escherichia coli strain Res13-Sevr-PER06-05-b-A 	NZ_CP062815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/555/GCA_015571555.1_ASM1557155v1
Escherichia coli strain Res13-Lact-PER04-33 	NZ_CP062832.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/635/GCA_015571635.1_ASM1557163v1
Escherichia coli strain Res13-Sevr-PER07-33 	NZ_CP062811.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/535/GCA_015571535.1_ASM1557153v1
Escherichia coli O9:H10 strain Res13-Lact-PEB20-37-A 	NZ_CP062853.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/695/GCA_015571695.1_ASM1557169v1
Escherichia coli strain Res13-Lact-PEA06-10 	NZ_CP062883.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/775/GCA_015571775.1_ASM1557177v1
Escherichia coli O20:H12 strain Res13-Lact-PEB17-18 	NZ_CP062855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/715/GCA_015571715.1_ASM1557171v1
Escherichia coli O157:H16 strain Res13-Lact-PEA12-26 	NZ_CP062876.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/855/GCA_015571855.1_ASM1557185v1
Escherichia coli strain Res13-Lact-PER12-33-A 	NZ_CP062826.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/615/GCA_015571615.1_ASM1557161v1
Escherichia coli K-12 strain CETR2G40 	NZ_CP064679.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/534/955/GCA_015534955.1_ASM1553495v1
Escherichia coli K-12 strain BZKR3G40 	NZ_CP064681.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/534/995/GCA_015534995.1_ASM1553499v1
Escherichia coli K-12 strain CETR1G40 	NZ_CP064680.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/534/975/GCA_015534975.1_ASM1553497v1
Escherichia coli K-12 strain BZKR2G40 	NZ_CP064682.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/535/015/GCA_015535015.1_ASM1553501v1
Escherichia coli K-12 strain CETR3G40 	NZ_CP064678.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/534/935/GCA_015534935.1_ASM1553493v1
Escherichia coli O157:H7 strain Wll001 	NZ_CP064167.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/353/135/GCA_015353135.1_ASM1535313v1
Escherichia coli str. K-12 substr. MG1655 strain K-12 	NZ_CP032679.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/291/845/GCA_015291845.1_ASM1529184v1
Escherichia coli strain 25DN 	NZ_CP063983.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/290/725/GCA_015290725.1_ASM1529072v1
Escherichia coli strain R1 	NZ_CP031706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/291/785/GCA_015291785.1_ASM1529178v1
Escherichia coli O25b:H4-ST131 	NZ_CP063774.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/277/555/GCA_015277555.1_ASM1527755v1
Escherichia coli strain 1409 	NZ_CP063369.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/076/685/GCA_014076685.2_ASM1407668v2
Escherichia coli strain ERP001 	NZ_CP063214.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/033/265/GCA_015033265.1_ASM1503326v1
Escherichia coli strain M7424 	NZ_CP063153.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/962/565/GCA_014962565.1_ASM1496256v1
Escherichia coli UTI89 	NZ_CP062985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/930/875/GCA_014930875.1_ASM1493087v1
Escherichia coli strain AML001_ev03 	NZ_CP062239.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/625/GCA_014863625.1_ASM1486362v1
Escherichia coli strain AML003_par 	NZ_CP062246.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/785/GCA_014863785.1_ASM1486378v1
Escherichia coli strain AML001_par 	NZ_CP062242.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/685/GCA_014863685.1_ASM1486368v1
Escherichia coli strain AML002_ev01 	NZ_CP062249.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/825/GCA_014863825.1_ASM1486382v1
Escherichia coli strain AML003_ev02 	NZ_CP062244.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/725/GCA_014863725.1_ASM1486372v1
Escherichia coli strain AML003_ev03 	NZ_CP062243.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/705/GCA_014863705.1_ASM1486370v1
Escherichia coli strain AML003_ev01 	NZ_CP062245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/745/GCA_014863745.1_ASM1486374v1
Escherichia coli strain AML001_ev02 	NZ_CP062240.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/645/GCA_014863645.1_ASM1486364v1
Escherichia coli strain AML002_par 	NZ_CP062250.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/845/GCA_014863845.1_ASM1486384v1
Escherichia coli strain AML002_ev03 	NZ_CP062247.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/765/GCA_014863765.1_ASM1486376v1
Escherichia coli strain AML001_ev01 	NZ_CP062241.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/665/GCA_014863665.1_ASM1486366v1
Escherichia coli strain AML002_ev02 	NZ_CP062248.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/805/GCA_014863805.1_ASM1486380v1
Escherichia coli strain UTI89 	NZ_CP062228.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/858/525/GCA_014858525.1_ASM1485852v1
Escherichia coli strain L3Cip3 	NZ_CP062211.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/854/635/GCA_014854635.1_ASM1485463v1
Escherichia coli strain K_EC180 	NZ_CP062203.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/854/675/GCA_014854675.1_ASM1485467v1
Escherichia coli strain C311 	NZ_CP062204.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/854/575/GCA_014854575.1_ASM1485457v1
Escherichia coli strain 20R2R 	NZ_CP062160.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/825/845/GCA_014825845.1_ASM1482584v1
Escherichia coli strain JS316 	NZ_CP058618.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/826/015/GCA_014826015.1_ASM1482601v1
Escherichia coli strain SMBL 	NZ_CP061914.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/805/805/GCA_014805805.1_ASM1480580v1
Escherichia coli strain MBT-5 	NZ_CP058682.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/058/445/GCA_014058445.2_ASM1405844v2
Escherichia coli strain WP5-S18-ESBL-08 	NZ_AP022161.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/415/GCA_014169415.1_ASM1416941v1
Escherichia coli O68:H12 strain 97.3 	NZ_CP061758.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/771/055/GCA_014771055.1_ASM1477105v1
Escherichia coli O19:H7 strain 730V1 	NZ_CP061764.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/771/275/GCA_014771275.1_ASM1477127v1
Escherichia coli O18ac:H14 strain 873.10 	NZ_CP061754.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/770/895/GCA_014770895.1_ASM1477089v1
Escherichia coli O15:H12 strain 2273-PO3 	NZ_CP061749.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/770/655/GCA_014770655.1_ASM1477065v1
Escherichia coli strain WEM25 	NZ_CP061530.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/705/965/GCA_014705965.1_ASM1470596v1
Escherichia coli strain HUE1 	NZ_AP023427.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/679/325/GCA_014679325.1_ASM1467932v1
Escherichia coli strain M11957 	NZ_CP061337.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/656/605/GCA_014656605.1_ASM1465660v1
Escherichia coli strain M00057 	NZ_CP061339.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/656/625/GCA_014656625.1_ASM1465662v1
Escherichia coli O145 strain RM11626-C1 	NZ_CP035768.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/205/GCA_014623205.1_ASM1462320v1
Escherichia coli O145 strain RM12275-C1 	NZ_CP031341.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/622/965/GCA_014622965.1_ASM1462296v1
Escherichia coli O145 strain RM12367-C1 	NZ_CP031345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/405/GCA_014623405.1_ASM1462340v1
Escherichia coli O145 strain RM9154-C1 	NZ_CP031353.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/225/GCA_014623225.1_ASM1462322v1
Escherichia coli O145 strain RM9467-C1 	NZ_CP031349.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/245/GCA_014623245.1_ASM1462324v1
Escherichia coli O145 strain RM8988-C1 	NZ_CP035770.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/185/GCA_014623185.1_ASM1462318v1
Escherichia coli O145 strain RM9873-C1 	NZ_CP031347.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/623/425/GCA_014623425.1_ASM1462342v1
Escherichia coli strain LD67-1 	NZ_CP061185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/622/725/GCA_014622725.1_ASM1462272v1
Escherichia coli O145 strain RM8843-C1 	NZ_CP035772.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/622/985/GCA_014622985.1_ASM1462298v1
Escherichia coli strain RM9872-C1 	NZ_CP024659.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/607/515/GCA_014607515.1_ASM1460751v1
Escherichia coli O145 strain RM10425-C1 	NZ_CP031343.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/607/535/GCA_014607535.1_ASM1460753v1
Escherichia coli O145 strain RM12522-C8 	NZ_CP035767.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/607/575/GCA_014607575.1_ASM1460757v1
Escherichia coli O145 strain RM8995-C1 	NZ_CP031355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/607/555/GCA_014607555.1_ASM1460755v1
Escherichia coli strain EC93 	NZ_CP061329.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/605/875/GCA_014605875.1_ASM1460587v1
Escherichia coli strain DA61218 	NZ_CP061206.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/541/045/GCA_014541045.1_ASM1454104v1
Escherichia coli strain 90-1 	NZ_CP050047.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/075/335/GCA_014075335.1_ASM1407533v1
Escherichia coli strain EC931 	NZ_CP049118.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/522/225/GCA_014522225.1_ASM1452222v1
Escherichia coli strain UPEC_U013 	NZ_CP058596.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/522/245/GCA_014522245.1_ASM1452224v1
Escherichia coli strain EC96 	NZ_CP060748.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/361/285/GCA_014361285.1_ASM1436128v1
Escherichia coli strain MFDpir 	NZ_CP060708.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/338/505/GCA_014338505.1_ASM1433850v1
Escherichia coli strain ST18 	NZ_CP060709.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/338/525/GCA_014338525.1_ASM1433852v1
Escherichia coli strain G1/2 	NZ_CP060083.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/315/GCA_014295315.1_ASM1429531v1
Escherichia coli strain G3/10 	NZ_CP060075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/275/GCA_014295275.1_ASM1429527v1
Escherichia coli strain G6/7 	NZ_CP060061.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/235/GCA_014295235.1_ASM1429523v1
Escherichia coli strain G5 	NZ_CP060065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/295/GCA_014295295.1_ASM1429529v1
Escherichia coli strain G8 	NZ_CP060057.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/215/GCA_014295215.1_ASM1429521v1
Escherichia coli strain G4/9 	NZ_CP060073.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/295/255/GCA_014295255.1_ASM1429525v1
Escherichia coli CFT073 	NZ_CP051263.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/262/945/GCA_014262945.1_ASM1426294v1
Escherichia coli BL21 	NZ_CP060121.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/263/375/GCA_014263375.1_ASM1426337v1
Escherichia coli O25b:H4-ST131 strain 2019_APHA 	NZ_CP051609.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/135/GCA_014217135.1_ASM1421713v1
Escherichia coli O25b:H4-ST131 strain 2017_APHA 	NZ_CP051615.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/155/GCA_014217155.1_ASM1421715v1
Escherichia coli strain N18-04097 	NZ_CP047277.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/395/GCA_014189395.1_ASM1418939v1
Escherichia coli strain WP2-W18-ESBL-10 	NZ_AP021935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/157/395/GCA_014157395.1_ASM1415739v1
Escherichia coli strain 181.1 	NZ_CP059907.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/170/615/GCA_014170615.1_ASM1417061v1
Escherichia coli strain WP9-S17-ESBL-11 	NZ_AP022287.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/855/GCA_014169855.1_ASM1416985v1
Escherichia coli strain BEC1-S17-ESBL-09 	NZ_AP022298.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/915/GCA_014169915.1_ASM1416991v1
Escherichia coli strain WP8-S17-ESBL-12 	NZ_AP022222.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/615/GCA_014169615.1_ASM1416961v1
Escherichia coli strain BEC1-S17-ESBL-07 	NZ_AP022295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/895/GCA_014169895.1_ASM1416989v1
Escherichia coli strain WP4-S18-ESBL-07 	NZ_AP022087.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/171/015/GCA_014171015.1_ASM1417101v1
Escherichia coli strain WP5-S18-ESBL-09 	NZ_AP022171.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/435/GCA_014169435.1_ASM1416943v1
Escherichia coli strain WP4-W18-ESBL-09 	NZ_AP022069.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/115/GCA_014169115.1_ASM1416911v1
Escherichia coli strain 268.2 	NZ_CP059947.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/170/975/GCA_014170975.1_ASM1417097v1
Escherichia coli strain 64.1 	NZ_CP059917.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/170/675/GCA_014170675.1_ASM1417067v1
Escherichia coli strain IDR1900005638-01-02 	NZ_CP054282.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/995/GCA_014169995.1_ASM1416999v1
Escherichia coli strain WP8-S18-CRE-02 	NZ_AP022245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/695/GCA_014169695.1_ASM1416969v1
Escherichia coli strain WP7-S18-ESBL-09 	NZ_AP022207.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/575/GCA_014169575.1_ASM1416957v1
Escherichia coli strain WP4-S17-ESBL-08 	NZ_AP022049.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/035/GCA_014169035.1_ASM1416903v1
Escherichia coli strain WP3-S18-ESBL-07 	NZ_AP022030.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/168/935/GCA_014168935.1_ASM1416893v1
Escherichia coli strain WP8-S18-ESBL-07 	NZ_AP022261.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/775/GCA_014169775.1_ASM1416977v1
Escherichia coli strain WP7-S17-ESBL-01 	NZ_AP022173.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/455/GCA_014169455.1_ASM1416945v1
Escherichia coli strain WP3-S18-ESBL-08 	NZ_AP022032.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/168/955/GCA_014168955.1_ASM1416895v1
Escherichia coli strain WP3-W18-ESBL-08 	NZ_AP022003.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/168/855/GCA_014168855.1_ASM1416885v1
Escherichia coli strain WP8-S17-ESBL-05 	NZ_AP022215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/595/GCA_014169595.1_ASM1416959v1
Escherichia coli strain WP4-S17-ESBL-03 	NZ_AP022044.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/015/GCA_014169015.1_ASM1416901v1
Escherichia coli strain WP4-S18-ESBL-09 	NZ_AP022098.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/175/GCA_014169175.1_ASM1416917v1
Escherichia coli strain WP7-S17-ESBL-04 	NZ_AP022177.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/475/GCA_014169475.1_ASM1416947v1
Escherichia coli strain WP2-W18-ESBL-08 	NZ_AP021933.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/168/675/GCA_014168675.1_ASM1416867v1
Escherichia coli strain WP4-S18-ESBL-08 	NZ_AP022095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/169/155/GCA_014169155.1_ASM1416915v1
